CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
GBRTENW,2010,38,f,42,536,627,1348,2128,4681,0.000455011828420277,0.00151209287908064,0.0130848682222862,0.0398401472821405,0.132866806083931,0.00859608735370278,0,0,0
GBRTENW,2010,38,b,86,1448,1455,2651,3299,8939,0.00045471771499608,0.0020497302494926,0.0157902437599863,0.0444547542337746,0.140370286431384,0.00834762079310897,0,0,0
GBRTENW,2010,39,m,53,861,837,1319,1128,4198,0.000547390414006458,0.00244630877696101,0.0189248511220045,0.0511271016444655,0.150679551134927,0.00797653068926744,0,0,0
GBRTENW,2010,39,f,38,581,603,1245,2090,4557,0.000411677368570727,0.00163904097527211,0.0125840120223901,0.0367959817257158,0.130494184546718,0.00836837643042588,0,0,0
GBRTENW,2010,39,b,91,1442,1440,2564,3218,8755,0.00048115479144934,0.0020412368921052,0.0156274577418421,0.042995846795699,0.136923789553257,0.00817579371782851,0,0,0
GBRTENW,2010,40,m,55,935,839,1401,1191,4421,0.000568046656044437,0.00265656063467891,0.0189700717937417,0.054305587114402,0.159095164363207,0.00840024825565778,0,0,0
GBRTENW,2010,40,f,35,594,616,1384,2143,4772,0.000379176523683564,0.00167571486972742,0.0128553091306671,0.040904127476619,0.133803367217041,0.0087631977893334,0,0,0
GBRTENW,2010,40,b,90,1529,1455,2785,3334,9193,0.000475867376158688,0.0021643905742225,0.0157902437599863,0.0467018070694313,0.141859513477488,0.00858481686442004,0,0,0
GBRTENW,2010,41,m,53,1009,869,1412,1222,4565,0.000547390414006458,0.00286681249239682,0.0196483818697992,0.0547319693115886,0.163236180396171,0.0086738595989771,0,0,0
GBRTENW,2010,41,f,45,613,598,1291,2106,4653,0.00048751267330744,0.00172931517700827,0.012479666980745,0.0381555119742162,0.131493183088702,0.00854466875812412,0,0,0
GBRTENW,2010,41,b,98,1622,1467,2703,3328,9218,0.000518166698483905,0.00229603761372721,0.0159204725745017,0.0453267448864175,0.141604217412442,0.00860816293443097,0,0,0
GBRTENW,2010,42,m,38,906,881,1423,1215,4463,0.000392468598721611,0.00257416463638406,0.0199197059002222,0.0551583515087752,0.162301112259695,0.00848005156412591,0,0,0
GBRTENW,2010,42,f,30,617,614,1343,2218,4822,0.000325008448871626,0.00174059945222529,0.0128135711140091,0.0396923722551296,0.138486172882593,0.00885501671000957,0,0,0
GBRTENW,2010,42,b,68,1523,1495,2766,3433,9285,0.000359544239764342,0.0021558972168351,0.0162243398083708,0.0463831951001964,0.146071898550755,0.00867073040206027,0,0,0
GBRTENW,2010,43,m,37,945,873,1454,1190,4499,0.000382140477702621,0.00268497304788403,0.0197388232132735,0.0563599740644828,0.158961583200854,0.00854845439995574,0,0,0
GBRTENW,2010,43,f,41,576,589,1407,2160,4773,0.000444178213457889,0.00162493563125084,0.012291845905784,0.0415838926008692,0.1348648031679,0.00876503416774693,0,0,0
GBRTENW,2010,43,b,78,1521,1462,2861,3350,9272,0.000412418392670863,0.00215306609770597,0.0158662105684536,0.0479762549463709,0.142540302984279,0.00865859044565459,0,0,0
GBRTENW,2010,44,m,53,935,928,1459,1295,4670,0.000547390414006458,0.00265656063467891,0.0209823916860456,0.0565537841541131,0.172987605247988,0.00887336787014744,0,0,0
GBRTENW,2010,44,f,34,598,653,1392,2321,4998,0.000368342908721177,0.00168699914494444,0.0136274624388403,0.0411405675198365,0.144917225996618,0.00917821931078968,0,0,0
GBRTENW,2010,44,b,87,1533,1581,2851,3616,9668,0.000460005130286732,0.00217005281248077,0.0171576463123975,0.0478085644362473,0.153858428534673,0.00902839219462776,0,0,0
GBRTENW,2010,45,m,40,913,898,1489,1239,4579,0.000413124840759591,0.00259405332562764,0.0203040816099881,0.0577166446918947,0.165507060156183,0.00870046070179981,0,0,0
GBRTENW,2010,45,f,34,615,609,1340,2229,4827,0.000368342908721177,0.00173495731461678,0.0127092260723641,0.039603707238923,0.139172984380208,0.00886419860207719,0,0,0
GBRTENW,2010,45,b,74,1528,1507,2829,3468,9406,0.000391268731508255,0.00216297501465794,0.0163545686228862,0.0474396453139753,0.14756112559686,0.00878372538091318,0,0,0
GBRTENW,2010,46,m,39,909,900,1485,1212,4545,0.000402796719740601,0.0025826883603456,0.0203493022817253,0.0575615966201905,0.161900368772634,0.00863585802351608,0,0,0
GBRTENW,2010,46,f,27,595,640,1371,2259,4892,0.000292507603984464,0.00167853593853168,0.0133561653305633,0.0405199124063907,0.141046106646428,0.0089835631989562,0,0,0
GBRTENW,2010,46,b,66,1504,1540,2856,3471,9437,0.000348969409183038,0.00212900158510834,0.0167126978628034,0.0478924096913091,0.147688773629383,0.00881267450772674,0,0,0
GBRTENW,2010,47,m,44,916,896,1483,1244,4583,0.00045443732483555,0.00260257704958918,0.0202588609382509,0.0574840725843384,0.166174965967951,0.00870806101689202,0,0,0
GBRTENW,2010,47,f,36,589,606,1449,2210,4890,0.000390010138645952,0.00166160952570615,0.0126466190473771,0.0428252028277608,0.137986673611601,0.00897989044212916,0,0,0
GBRTENW,2010,47,b,80,1505,1502,2932,3454,9473,0.000422993223252167,0.0021304171446729,0.0163003066168381,0.0491668575682487,0.146965434778418,0.00884629284854248,0,0,0
GBRTENW,2010,48,m,36,884,902,1413,1206,4441,0.000371812356683632,0.00251165732733279,0.0203945229534624,0.0547707313295146,0.161098881798512,0.0084382498311188,0,0,0
GBRTENW,2010,48,f,34,595,614,1351,2185,4779,0.000368342908721177,0.00167853593853168,0.0128135711140091,0.039928812298347,0.13642573838975,0.00877605243822807,0,0,0
GBRTENW,2010,48,b,70,1479,1516,2764,3391,9220,0.000370119070345646,0.00209361259599417,0.0164522402337727,0.0463496569981717,0.14428482609543,0.00861003062003185,0,0,0
GBRTENW,2010,49,m,53,1066,1051,1762,1546,5478,0.000547390414006458,0.00302876324766601,0.0237634629978814,0.0682986755857076,0.206516476998756,0.0104086315187725,0,0,0
GBRTENW,2010,49,f,35,668,685,1574,2752,5714,0.000379176523683564,0.00188447396124229,0.0142952707053685,0.0465195785030335,0.171827749221324,0.0104930662548724,0,0,0
GBRTENW,2010,49,b,88,1734,1736,3336,4298,11192,0.000465292545577384,0.00245458028495868,0.0188397684998875,0.0559415541772434,0.182877081261621,0.0104515686224942,0,0,0
GBRTENW,2010,50,m,47,1115,984,1642,1427,5215,0.000485421687892519,0.00316798407237111,0.0222485704946863,0.063647233434581,0.190620318678671,0.00990891080146015,0,0,0
GBRTENW,2010,50,f,38,700,658,1551,2718,5665,0.000411677368570727,0.00197474816297845,0.0137318074804853,0.0458398133787833,0.169704877319607,0.0104030837126098,0,0,0
GBRTENW,2010,50,b,85,1815,1642,3193,4145,10880,0.000449430299705428,0.00256924060968858,0.0178196427861839,0.0535435798824754,0.176367031602936,0.0101602096687578,0,0,0
GBRTENW,2010,51,m,54,1119,1037,1743,1471,5424,0.000557718535025448,0.00317934903765316,0.0234469182957212,0.0675621972451125,0.196497889822232,0.0103060272650278,0,0,0
GBRTENW,2010,51,f,45,749,759,1722,2784,6059,0.00048751267330744,0.00211298053438694,0.0158395773217149,0.0508937193025563,0.173825746305293,0.0111266168075379,0,0,0
GBRTENW,2010,51,b,99,1868,1796,3465,4255,11483,0.000523454113774557,0.00264426526661062,0.0194909125724642,0.0581047617578382,0.181047459462122,0.0107233168774214,0,0,0
GBRTENW,2010,52,m,37,876,874,1395,1339,4521,0.000382140477702621,0.00248892739676869,0.0197614335491421,0.0540730150068457,0.178865176391549,0.00859025613296286,0,0,0
